"total_incidents","avg_heat_index","is_weekend","is_first_day_of_month","is_new_years_day"
586,0,0,1,1
454,2.2,1,0,0
456,2.8,1,0,0
353,2.8,1,0,0
374,-10,0,0,0
326,-11.1,0,0,0
310,-11.1,0,0,0
317,-10,0,0,0
386,-6.7,1,0,0
439,-6.1,1,0,0
464,1.1,1,0,0
420,1.1,0,0,0
422,-1.1,0,0,0
450,-5,0,0,0
499,2.2,0,0,0
491,2.2,1,0,0
538,6.7,1,0,0
541,6.7,1,0,0
501,6.1,0,0,0
576,6.1,0,0,0
527,4.4,0,0,0
522,2.2,0,0,0
555,1.1,1,0,0
530,7.2,1,0,0
469,2.8,1,0,0
472,3.3,0,0,0
430,0.6,0,0,0
428,2.2,0,0,0
471,3.9,0,0,0
467,3.9,1,0,0
446,3.9,1,0,0
340,3.9,1,1,0
298,0.6,0,0,0
353,-2.8,0,0,0
393,-1.1,0,0,0
374,-1.1,0,0,0
449,0,1,0,0
433,6.1,1,0,0
414,6.7,1,0,0
401,5.6,0,0,0
406,0.6,0,0,0
393,3.3,0,0,0
404,3.3,0,0,0
382,-3.9,1,0,0
415,-1.7,1,0,0
355,-1.7,1,0,0
327,-7.2,0,0,0
408,-5.6,0,0,0
333,-5.6,0,0,0
318,-11.7,0,0,0
412,-6.7,1,0,0
453,0,1,0,0
411,0.6,1,0,0
407,-1.1,0,0,0
432,-0.6,0,0,0
370,0,0,0,0
332,-2.2,0,0,0
409,-5.6,1,0,0
375,-5,1,0,0
461,-2.8,1,1,0
441,1.1,0,0,0
410,2.8,0,0,0
379,2.8,0,0,0
391,0.6,0,0,0
453,-2.8,1,0,0
475,7.8,1,0,0
442,7.8,1,0,0
491,11.1,0,0,0
499,12.2,0,0,0
498,12.2,0,0,0
518,14.4,0,0,0
578,18.3,1,0,0
586,18.3,1,0,0
599,17.8,1,0,0
550,23.3,0,0,0
485,23.3,0,0,0
468,10,0,0,0
531,10,0,0,0
550,11.1,1,0,0
494,11.1,1,0,0
484,10,1,0,0
411,2.8,0,0,0
416,3.9,0,0,0
484,6.1,0,0,0
475,7.8,0,0,0
480,7.8,1,0,0
469,2.8,1,0,0
438,9.4,1,0,0
493,17.8,0,0,0
484,17.8,0,0,0
609,23.3,0,1,0
543,23.3,0,0,0
487,20,1,0,0
489,16.1,1,0,0
515,20,1,0,0
475,20.6,0,0,0
408,8.3,0,0,0
453,12.2,0,0,0
434,23.3,0,0,0
495,23.3,1,0,0
516,18.3,1,0,0
568,21.7,1,0,0
515,21.7,0,0,0
554,20.6,0,0,0
544,19.4,0,0,0
478,19.4,0,0,0
558,26.7,1,0,0
559,26.7,1,0,0
521,20.6,1,0,0
509,20.6,0,0,0
458,14.4,0,0,0
489,8.3,0,0,0
519,13.3,0,0,0
557,15.6,1,0,0
484,15.6,1,0,0
550,13.9,1,0,0
540,13.9,0,0,0
533,15.6,0,0,0
555,17.8,0,0,0
469,17.8,0,0,0
618,18.3,1,1,0
526,26.1,1,0,0
609,26.7,1,0,0
560,29.6,0,0,0
478,23.3,0,0,0
519,31.8,0,0,0
591,31.8,0,0,0
588,35.6,1,0,0
506,20,1,0,0
562,19.4,1,0,0
542,21.7,0,0,0
527,21.7,0,0,0
557,14.4,0,0,0
542,20.6,0,0,0
592,26.1,1,0,0
676,30.9,1,0,0
645,33.7,1,0,0
548,30.6,0,0,0
500,17.2,0,0,0
524,12.2,0,0,0
515,21.1,0,0,0
603,21.1,1,0,0
604,27,1,0,0
530,29,1,0,0
538,29.2,0,0,0
571,29.7,0,0,0
525,25,0,0,0
605,30.2,0,0,0
585,31.3,1,0,0
555,35.4,1,0,0
487,13.3,1,0,0
592,16.7,0,1,0
551,21.7,0,0,0
537,26.1,0,0,0
526,29.5,0,0,0
543,30.9,1,0,0
559,22.8,1,0,0
543,32.4,1,0,0
485,35.2,0,0,0
502,34,0,0,0
565,40.2,0,0,0
547,25,0,0,0
608,26.1,1,0,0
614,39.9,1,0,0
614,42.5,1,0,0
550,37.7,0,0,0
641,31.6,0,0,0
556,22.2,0,0,0
579,31.5,0,0,0
587,30.7,1,0,0
598,30.4,1,0,0
668,37,1,0,0
603,39.9,0,0,0
539,31.3,0,0,0
547,28.2,0,0,0
550,32.4,0,0,0
563,34,1,0,0
542,25,1,0,0
638,27.5,1,0,0
548,30.1,0,0,0
548,26.7,0,0,0
575,26.7,0,1,0
529,21.1,0,0,0
571,25,1,0,0
673,30.2,1,0,0
709,30.8,1,0,0
543,36.3,0,0,0
518,37.3,0,0,0
504,23.3,0,0,0
496,23.3,0,0,0
527,29.2,1,0,0
611,28.6,1,0,0
611,31.8,1,0,0
573,38.2,0,0,0
517,36.8,0,0,0
573,30.3,0,0,0
491,26.1,0,0,0
585,48.7,1,0,0
601,45.2,1,0,0
609,43.2,1,0,0
577,35.2,0,0,0
580,33,0,0,0
560,28.5,0,0,0
604,29.6,0,0,0
652,31,1,0,0
651,40.7,1,0,0
622,42.3,1,0,0
637,36.2,0,0,0
576,40.4,0,0,0
569,39.6,0,0,0
566,30.9,0,0,0
573,31.1,1,0,0
737,31,1,1,0
630,40.7,1,0,0
536,39.9,0,0,0
560,28.5,0,0,0
545,29.2,0,0,0
578,30.2,0,0,0
610,29.9,1,0,0
656,31,1,0,0
571,34.6,1,0,0
600,35.5,0,0,0
564,33.7,0,0,0
553,28.9,0,0,0
574,32.2,0,0,0
604,38.3,1,0,0
632,41,1,0,0
701,40.8,1,0,0
543,39.5,0,0,0
558,43,0,0,0
575,29.1,0,0,0
569,23.9,0,0,0
618,29.4,1,0,0
649,29,1,0,0
607,29.6,1,0,0
527,26.1,0,0,0
565,24.4,0,0,0
552,22.8,0,0,0
556,23.9,0,0,0
591,24.4,1,0,0
581,24.4,1,0,0
591,25.6,1,0,0
542,37.7,0,0,0
614,39.4,0,1,0
565,41.7,0,0,0
655,39.9,0,0,0
587,47.7,1,0,0
598,37,1,0,0
624,40.2,1,0,0
605,40.6,0,0,0
517,40.8,0,0,0
511,37.6,0,0,0
500,25.6,0,0,0
489,25,1,0,0
535,20.6,1,0,0
588,21.7,1,0,0
593,28.4,0,0,0
573,28.5,0,0,0
565,28.3,0,0,0
533,32.4,0,0,0
590,39.1,1,0,0
590,26.1,1,0,0
616,22.2,1,0,0
550,22.8,0,0,0
555,27.8,0,0,0
602,27.4,0,0,0
531,26.7,0,0,0
595,25.6,1,0,0
618,24.4,1,0,0
611,24.4,1,0,0
567,29.6,0,0,0
483,29.7,0,0,0
485,22.2,0,0,0
543,17.2,0,1,0
558,16.7,1,0,0
525,15,1,0,0
492,15.6,1,0,0
522,16.1,0,0,0
516,20,0,0,0
517,22.8,0,0,0
518,26.1,0,0,0
561,26.1,1,0,0
531,19.4,1,0,0
582,26.7,1,0,0
547,26.7,0,0,0
545,25,0,0,0
544,18.3,0,0,0
566,21.7,0,0,0
526,21.7,1,0,0
550,13.3,1,0,0
515,16.1,1,0,0
592,23.3,0,0,0
554,25,0,0,0
596,25,0,0,0
542,25,0,0,0
548,17.8,1,0,0
600,20,1,0,0
557,20,1,0,0
585,17.2,0,0,0
500,16.7,0,0,0
486,14.4,0,0,0
500,14.4,0,0,0
536,13.9,1,0,0
561,13.9,1,0,0
676,18.3,1,1,0
566,23.3,0,0,0
546,23.3,0,0,0
568,22.8,0,0,0
556,22.8,0,0,0
536,21.7,1,0,0
507,19.4,1,0,0
538,12.8,1,0,0
503,13.3,0,0,0
468,14.4,0,0,0
467,17.8,0,0,0
475,17.8,0,0,0
492,14.4,1,0,0
535,14.4,1,0,0
521,18.9,1,0,0
550,18.9,0,0,0
485,15.6,0,0,0
499,17.2,0,0,0
474,17.2,0,0,0
511,10,1,0,0
399,6.1,1,0,0
378,1.7,1,0,0
470,3.9,0,0,0
454,7.2,0,0,0
480,11.7,0,0,0
489,17,0,0,0
472,16.7,1,0,0
518,4.4,1,0,0
468,6.1,1,0,0
477,7.8,0,0,0
486,7.8,0,1,0
533,7.2,0,0,0
523,3.9,0,0,0
518,8.9,1,0,0
539,8.9,1,0,0
525,8.9,1,0,0
523,8.9,0,0,0
524,8.3,0,0,0
517,12.2,0,0,0
529,15.6,0,0,0
577,15.6,1,0,0
588,15.6,1,0,0
543,17.8,1,0,0
585,17.8,0,0,0
593,8.3,0,0,0
542,12.8,0,0,0
542,12.8,0,0,0
495,2.2,1,0,0
515,0.6,1,0,0
524,10.6,1,0,0
487,12.2,0,0,0
541,12.2,0,0,0
593,16.1,0,0,0
550,14.4,0,0,0
414,7.8,1,0,0
505,7.8,1,0,0
504,7.2,1,0,0
402,6.1,0,0,0
459,5.6,0,0,0
454,5,0,0,0
460,-1.7,0,0,0
591,-1.1,1,1,1
434,0.6,1,0,0
491,0.6,1,0,0
479,0,0,0,0
463,1.1,0,0,0
458,3.9,0,0,0
517,6.1,0,0,0
559,7.2,1,0,0
494,8,1,0,0
440,1.1,1,0,0
401,-5.6,0,0,0
397,-3,0,0,0
482,-4.4,0,0,0
535,7.2,0,0,0
562,7.2,1,0,0
490,1.1,1,0,0
409,-3.9,1,0,0
385,-12.2,0,0,0
454,-7.8,0,0,0
479,-3.9,0,0,0
479,0,0,0,0
537,0,1,0,0
558,2,1,0,0
538,2.8,1,0,0
564,5,0,0,0
448,6.1,0,0,0
502,1.1,0,0,0
502,5,0,0,0
566,2.2,1,0,0
570,9.4,1,0,0
538,9.4,1,0,0
547,8.3,0,1,0
421,5.6,0,0,0
489,4.4,0,0,0
483,0.6,0,0,0
482,1.1,1,0,0
506,5.6,1,0,0
469,7.8,1,0,0
422,6.1,0,0,0
383,-2.2,0,0,0
377,-7.2,0,0,0
407,-4.4,0,0,0
428,-3.9,1,0,0
442,-7.2,1,0,0
391,-7.2,1,0,0
386,-1.7,0,0,0
472,2.8,0,0,0
457,2.2,0,0,0
511,5.6,0,0,0
563,18.3,1,0,0
528,15.6,1,0,0
546,11.7,1,0,0
475,7.2,0,0,0
459,7.8,0,0,0
418,4.4,0,0,0
455,3.3,0,0,0
535,1.7,1,0,0
517,12.8,1,0,0
489,17.8,1,0,0
484,15.6,0,0,0
479,2.2,0,1,0
427,0.6,0,0,0
434,0.6,0,0,0
498,3.9,1,0,0
535,4.4,1,0,0
521,11.7,1,0,0
568,16.7,0,0,0
561,22.8,0,0,0
489,20.6,0,0,0
513,15.6,0,0,0
516,11.7,1,0,0
593,15.6,1,0,0
480,10.6,1,0,0
490,12.2,0,0,0
514,17.8,0,0,0
546,16.1,0,0,0
553,14.4,0,0,0
