"total_incidents","avg_heat_index","is_weekend"
454,2.2,1
456,2.8,1
353,2.8,1
374,-10,0
326,-11.1,0
310,-11.1,0
317,-10,0
386,-6.7,1
439,-6.1,1
464,1.1,1
420,1.1,0
422,-1.1,0
450,-5,0
499,2.2,0
491,2.2,1
538,6.7,1
541,6.7,1
501,6.1,0
576,6.1,0
527,4.4,0
522,2.2,0
555,1.1,1
530,7.2,1
469,2.8,1
472,3.3,0
430,0.6,0
428,2.2,0
471,3.9,0
467,3.9,1
446,3.9,1
298,0.6,0
353,-2.8,0
393,-1.1,0
374,-1.1,0
449,0,1
433,6.1,1
414,6.7,1
401,5.6,0
406,0.6,0
393,3.3,0
404,3.3,0
382,-3.9,1
415,-1.7,1
355,-1.7,1
327,-7.2,0
408,-5.6,0
333,-5.6,0
318,-11.7,0
412,-6.7,1
453,0,1
411,0.6,1
407,-1.1,0
432,-0.6,0
370,0,0
332,-2.2,0
409,-5.6,1
375,-5,1
441,1.1,0
410,2.8,0
379,2.8,0
391,0.6,0
453,-2.8,1
475,7.8,1
442,7.8,1
491,11.1,0
499,12.2,0
498,12.2,0
518,14.4,0
578,18.3,1
586,18.3,1
599,17.8,1
550,23.3,0
485,23.3,0
468,10,0
531,10,0
550,11.1,1
494,11.1,1
484,10,1
411,2.8,0
416,3.9,0
484,6.1,0
475,7.8,0
480,7.8,1
469,2.8,1
438,9.4,1
493,17.8,0
484,17.8,0
543,23.3,0
487,20,1
489,16.1,1
515,20,1
475,20.6,0
408,8.3,0
453,12.2,0
434,23.3,0
495,23.3,1
516,18.3,1
568,21.7,1
515,21.7,0
554,20.6,0
544,19.4,0
478,19.4,0
558,26.7,1
559,26.7,1
521,20.6,1
509,20.6,0
458,14.4,0
489,8.3,0
519,13.3,0
557,15.6,1
484,15.6,1
550,13.9,1
540,13.9,0
533,15.6,0
555,17.8,0
469,17.8,0
526,26.1,1
609,26.7,1
560,29.6,0
478,23.3,0
519,31.8,0
591,31.8,0
588,35.6,1
506,20,1
562,19.4,1
542,21.7,0
527,21.7,0
557,14.4,0
542,20.6,0
592,26.1,1
676,30.9,1
645,33.7,1
548,30.6,0
500,17.2,0
524,12.2,0
515,21.1,0
603,21.1,1
604,27,1
530,29,1
538,29.2,0
571,29.7,0
525,25,0
605,30.2,0
585,31.3,1
555,35.4,1
487,13.3,1
551,21.7,0
537,26.1,0
526,29.5,0
543,30.9,1
559,22.8,1
543,32.4,1
485,35.2,0
502,34,0
565,40.2,0
547,25,0
608,26.1,1
614,39.9,1
614,42.5,1
550,37.7,0
641,31.6,0
556,22.2,0
579,31.5,0
587,30.7,1
598,30.4,1
668,37,1
603,39.9,0
539,31.3,0
547,28.2,0
550,32.4,0
563,34,1
542,25,1
638,27.5,1
548,30.1,0
548,26.7,0
529,21.1,0
571,25,1
673,30.2,1
709,30.8,1
543,36.3,0
518,37.3,0
504,23.3,0
496,23.3,0
527,29.2,1
611,28.6,1
611,31.8,1
573,38.2,0
517,36.8,0
573,30.3,0
491,26.1,0
585,48.7,1
601,45.2,1
609,43.2,1
577,35.2,0
580,33,0
560,28.5,0
604,29.6,0
652,31,1
651,40.7,1
622,42.3,1
637,36.2,0
576,40.4,0
569,39.6,0
566,30.9,0
573,31.1,1
630,40.7,1
536,39.9,0
560,28.5,0
545,29.2,0
578,30.2,0
610,29.9,1
656,31,1
571,34.6,1
600,35.5,0
564,33.7,0
553,28.9,0
574,32.2,0
604,38.3,1
632,41,1
701,40.8,1
543,39.5,0
558,43,0
575,29.1,0
569,23.9,0
618,29.4,1
649,29,1
607,29.6,1
527,26.1,0
565,24.4,0
552,22.8,0
556,23.9,0
591,24.4,1
581,24.4,1
591,25.6,1
542,37.7,0
565,41.7,0
655,39.9,0
587,47.7,1
598,37,1
624,40.2,1
605,40.6,0
517,40.8,0
511,37.6,0
500,25.6,0
489,25,1
535,20.6,1
588,21.7,1
593,28.4,0
573,28.5,0
565,28.3,0
533,32.4,0
590,39.1,1
590,26.1,1
616,22.2,1
550,22.8,0
555,27.8,0
602,27.4,0
531,26.7,0
595,25.6,1
618,24.4,1
611,24.4,1
567,29.6,0
483,29.7,0
485,22.2,0
558,16.7,1
525,15,1
492,15.6,1
522,16.1,0
516,20,0
517,22.8,0
518,26.1,0
561,26.1,1
531,19.4,1
582,26.7,1
547,26.7,0
545,25,0
544,18.3,0
566,21.7,0
526,21.7,1
550,13.3,1
515,16.1,1
592,23.3,0
554,25,0
596,25,0
542,25,0
548,17.8,1
600,20,1
557,20,1
585,17.2,0
500,16.7,0
486,14.4,0
500,14.4,0
536,13.9,1
561,13.9,1
566,23.3,0
546,23.3,0
568,22.8,0
556,22.8,0
536,21.7,1
507,19.4,1
538,12.8,1
503,13.3,0
468,14.4,0
467,17.8,0
475,17.8,0
492,14.4,1
535,14.4,1
521,18.9,1
550,18.9,0
485,15.6,0
499,17.2,0
474,17.2,0
511,10,1
399,6.1,1
378,1.7,1
470,3.9,0
454,7.2,0
480,11.7,0
489,17,0
472,16.7,1
518,4.4,1
468,6.1,1
477,7.8,0
533,7.2,0
523,3.9,0
518,8.9,1
539,8.9,1
525,8.9,1
523,8.9,0
524,8.3,0
517,12.2,0
529,15.6,0
577,15.6,1
588,15.6,1
543,17.8,1
585,17.8,0
593,8.3,0
542,12.8,0
542,12.8,0
495,2.2,1
515,0.6,1
524,10.6,1
487,12.2,0
541,12.2,0
593,16.1,0
550,14.4,0
414,7.8,1
505,7.8,1
504,7.2,1
402,6.1,0
459,5.6,0
454,5,0
460,-1.7,0
434,0.6,1
491,0.6,1
479,0,0
463,1.1,0
458,3.9,0
517,6.1,0
559,7.2,1
494,8,1
440,1.1,1
401,-5.6,0
397,-3,0
482,-4.4,0
535,7.2,0
562,7.2,1
490,1.1,1
409,-3.9,1
385,-12.2,0
454,-7.8,0
479,-3.9,0
479,0,0
537,0,1
558,2,1
